point_queries_experiment/psql/q3_psql 135.461
point_queries_experiment/mongo/s3/q3v1_mongo_s3 timeout
point_queries_experiment/mongo/s3/q3v2_mongo_s3 timeout
point_queries_experiment/mongo/s2/q3v4_mongo_s2 timeout
point_queries_experiment/mongo/s2/q3v3_mongo_s2 timeout
point_queries_experiment/mongo/s2/q3v1_mongo_s2 timeout
point_queries_experiment/mongo/s2/q3v2_mongo_s2 timeout
tpch_experiment/psql/q3_psql 662.291
tpch_experiment/mongo/s3/q3v1_mongo_s3 9015.8
tpch_experiment/mongo/s3/q3v2_mongo_s3 timeout
tpch_experiment/mongo/s1/q3v3_mongo_s1 10816.6
tpch_experiment/mongo/s1/q3v1_mongo_s1 6725.4
tpch_experiment/mongo/s1/q3v2_mongo_s1 7289.6
tpch_experiment/mongo/s2/q3v3_mongo_s2 timeout
tpch_experiment/mongo/s2/q3v1_mongo_s2 timeout
tpch_experiment/mongo/s2/q3v2_mongo_s2 timeout
point_queries_experiment/mongo/s1/q4v3_mongo_s1 7822.2
point_queries_experiment/mongo/s1/q4v2_mongo_s1 7055
point_queries_experiment/mongo/s1/q4v1_mongo_s1 7962.6
point_queries_experiment/mongo/s2/q4v3_mongo_s2 227.4
point_queries_experiment/mongo/s2/q4v2_mongo_s2 238.4
point_queries_experiment/mongo/s2/q4v1_mongo_s2 229.8
tpch_experiment/psql/q4_psql 5032.89
tpch_experiment/mongo/s3/q4_mongo_s3 9884.6
tpch_experiment/mongo/s1/q4v3_mongo_s1 18636
tpch_experiment/mongo/s1/q4v2_mongo_s1 9439.2
tpch_experiment/mongo/s1/q4v1_mongo_s1 8516
tpch_experiment/mongo/s2/q4_mongo_s2 timeout
tpch_experiment/psql/q22_psql 979.728
tpch_experiment/mongo/s3/q22_mongo_s3 timeout
tpch_experiment/mongo/s1/q22_mongo_s1 6599.8
tpch_experiment/mongo/s2/q22_mongo_s2 timeout
