point_queries_experiment/psql/q3_psql 120.724
point_queries_experiment/mongo/s3/q3v1_mongo_s3 timeout
point_queries_experiment/mongo/s3/q3v2_mongo_s3 30569.2
point_queries_experiment/mongo/s2/q3v4_mongo_s2 timeout
point_queries_experiment/mongo/s2/q3v3_mongo_s2 timeout
point_queries_experiment/mongo/s2/q3v1_mongo_s2 timeout
point_queries_experiment/mongo/s2/q3v2_mongo_s2 25430
tpch_experiment/psql/q3_psql 497.684
tpch_experiment/mongo/s3/q3v1_mongo_s3 178
tpch_experiment/mongo/s3/q3v2_mongo_s3 5882.8
tpch_experiment/mongo/s1/q3v3_mongo_s1 1353.8
tpch_experiment/mongo/s1/q3v1_mongo_s1 688.4
tpch_experiment/mongo/s1/q3v2_mongo_s1 1237.6
tpch_experiment/mongo/s2/q3v3_mongo_s2 timeout
tpch_experiment/mongo/s2/q3v1_mongo_s2 248
tpch_experiment/mongo/s2/q3v2_mongo_s2 5498.4
point_queries_experiment/mongo/s1/q4v3_mongo_s1 488.8
point_queries_experiment/mongo/s1/q4v2_mongo_s1 414.8
point_queries_experiment/mongo/s1/q4v1_mongo_s1 5793.2
point_queries_experiment/mongo/s2/q4v3_mongo_s2 90
point_queries_experiment/mongo/s2/q4v2_mongo_s2 90.6
point_queries_experiment/mongo/s2/q4v1_mongo_s2 221
tpch_experiment/psql/q4_psql 3332.31
tpch_experiment/mongo/s3/q4_mongo_s3 1257.4
tpch_experiment/mongo/s1/q4v3_mongo_s1 10625.6
tpch_experiment/mongo/s1/q4v2_mongo_s1 3439.4
tpch_experiment/mongo/s1/q4v1_mongo_s1 3006.2
tpch_experiment/mongo/s2/q4_mongo_s2 11851
tpch_experiment/psql/q22_psql 974.938
tpch_experiment/mongo/s3/q22_mongo_s3 29812.6
tpch_experiment/mongo/s1/q22_mongo_s1 2511.8
tpch_experiment/mongo/s2/q22_mongo_s2 24942
