point_queries_experiment/psql/q3_psql 137.082
point_queries_experiment/mongo/s3/q3v1_mongo_s3 timeout
point_queries_experiment/mongo/s3/q3v2_mongo_s3 28968.2
point_queries_experiment/mongo/s2/q3v4_mongo_s2 timeout
point_queries_experiment/mongo/s2/q3v3_mongo_s2 timeout
point_queries_experiment/mongo/s2/q3v1_mongo_s2 timeout
point_queries_experiment/mongo/s2/q3v2_mongo_s2 25692.4
tpch_experiment/psql/q3_psql 775.41
tpch_experiment/mongo/s3/q3v1_mongo_s3 253.4
tpch_experiment/mongo/s3/q3v2_mongo_s3 5499.8
tpch_experiment/mongo/s1/q3v3_mongo_s1 6454.6
tpch_experiment/mongo/s1/q3v1_mongo_s1 4769.4
tpch_experiment/mongo/s1/q3v2_mongo_s1 8124
tpch_experiment/mongo/s2/q3v3_mongo_s2 timeout
tpch_experiment/mongo/s2/q3v1_mongo_s2 217
tpch_experiment/mongo/s2/q3v2_mongo_s2 5437.6
point_queries_experiment/mongo/s1/q4v3_mongo_s1 4270.6
point_queries_experiment/mongo/s1/q4v2_mongo_s1 7728
point_queries_experiment/mongo/s1/q4v1_mongo_s1 5800.2
point_queries_experiment/mongo/s2/q4v3_mongo_s2 112.6
point_queries_experiment/mongo/s2/q4v2_mongo_s2 113.4
point_queries_experiment/mongo/s2/q4v1_mongo_s2 105
tpch_experiment/psql/q4_psql 5083.82
tpch_experiment/mongo/s3/q4_mongo_s3 1087.8
tpch_experiment/mongo/s1/q4v3_mongo_s1 14256.4
tpch_experiment/mongo/s1/q4v2_mongo_s1 8376
tpch_experiment/mongo/s1/q4v1_mongo_s1 7783.8
tpch_experiment/mongo/s2/q4_mongo_s2 11121
tpch_experiment/psql/q22_psql 1017.97
tpch_experiment/mongo/s3/q22_mongo_s3 29727.4
tpch_experiment/mongo/s1/q22_mongo_s1 5526
tpch_experiment/mongo/s2/q22_mongo_s2 23210.4
