point_queries_experiment/psql/q3_psql 132.21
point_queries_experiment/mongo/s3/q3v1_mongo_s3 timeout
point_queries_experiment/mongo/s3/q3v2_mongo_s3 28619.6
point_queries_experiment/mongo/s2/q3v4_mongo_s2 timeout
point_queries_experiment/mongo/s2/q3v3_mongo_s2 timeout
point_queries_experiment/mongo/s2/q3v1_mongo_s2 timeout
point_queries_experiment/mongo/s2/q3v2_mongo_s2 26568
tpch_experiment/psql/q3_psql 491.378
tpch_experiment/mongo/s3/q3v1_mongo_s3 232.2
tpch_experiment/mongo/s3/q3v2_mongo_s3 5543
tpch_experiment/mongo/s1/q3v3_mongo_s1 1381.2
tpch_experiment/mongo/s1/q3v1_mongo_s1 581.8
tpch_experiment/mongo/s1/q3v2_mongo_s1 1262
tpch_experiment/mongo/s2/q3v3_mongo_s2 timeout
tpch_experiment/mongo/s2/q3v1_mongo_s2 227
tpch_experiment/mongo/s2/q3v2_mongo_s2 6054
point_queries_experiment/mongo/s1/q4v3_mongo_s1 71.4
point_queries_experiment/mongo/s1/q4v2_mongo_s1 69.4
point_queries_experiment/mongo/s1/q4v1_mongo_s1 73.8
point_queries_experiment/mongo/s2/q4v3_mongo_s2 69.8
point_queries_experiment/mongo/s2/q4v2_mongo_s2 71.2
point_queries_experiment/mongo/s2/q4v1_mongo_s2 58.8
tpch_experiment/psql/q4_psql 5320.82
tpch_experiment/mongo/s3/q4_mongo_s3 1467.4
tpch_experiment/mongo/s1/q4v3_mongo_s1 10683.4
tpch_experiment/mongo/s1/q4v2_mongo_s1 3097.4
tpch_experiment/mongo/s1/q4v1_mongo_s1 3068.4
tpch_experiment/mongo/s2/q4_mongo_s2 11504.8
tpch_experiment/psql/q22_psql 1127.53
tpch_experiment/mongo/s3/q22_mongo_s3 30574
tpch_experiment/mongo/s1/q22_mongo_s1 2383
tpch_experiment/mongo/s2/q22_mongo_s2 26515.8
